Model,Brand,Regular Price (BDT),Special Price (BDT),Discount (BDT),Processor Brand,Processor Model,Processor Frequency (GHz),RAM (GB),RAM Type,Storage,Display Size (inch),Display Type,Graphics Model,Battery Type,Battery Capacity (WHr),Number of Reviews
 Creator M16 A12UC,MSI,0,0,0,Intel ,Core i7-12700H,3,16,DDR4,512GB  NVMe PCIe Gen4x4 SSD,16,IPS,NVIDIA GeForce RTX 3050,3-Cell,53,0
 Katana GF66 12UD,MSI,0,0,0,Intel,Core i7-12700H,,16,DDR4 ,512GB NVMe PCIe Gen3x4 SSD,15,IPS,NVIDIA GeForce RTX 3050 Ti,3 cell,53,0
" MacBook Pro 16""",Apple,330930,305000,25930,Apple,M2 Pro chip,,16,,1TB SSD,16,Liquid Retina XDR,19-core GPU,Lithium-polymer battery,100,0
 Raider GE66 Deluxe Edition,MSI,0,0,0,Intel , Core i9-12900HK,3,32,DDR5 ,2TB NVMe PCIe Gen4x4 SSD,15,,NVIDIA GeForce RTX 3080 Ti ,4-Cell Integrated,99,1
 Aspire 5 AN515-57G-52HF,Acer,103400,95500,7900,Intel,Core i5-1240P,4,8,DDR4,"512 GB PCIe Gen3, 8 Gb/s, NVMe SSD",15,IPS,NVIDIA GeForce RTX 2050,3-cell Li-ion,50,0
 MacBook Air 13-inch 2020,Apple,0,0,0,,,,,, ,,,,,,0
 Katana GF66 12UC,MSI,0,0,0,Intel ,Core i7-12700H,3,8,DDR4 ,512GB  NVMe PCIe Gen3x4 SSD,15,IPS,NVIDIA GeForce RTX 3050,3 cell Integrated,53,0
 Vector GP77 13VG,MSI,0,0,0,Intel ,Core i7-13700H,2,16,DDR5,2TB NVMe PCIe Gen4x4 SSD,17,IPS,NVIDIA GeForce RTX 4070,4 cell,65,0
" MacBook Air 13"" M1 Chip",Apple,0,0,0,Apple,M1 chip,2,8,unified memory,256GB SSD,13,Retina display with IPS technology,Apple 7-core GPU,lithium‑polymer,49,0
 Apple MacBook Air 13.3-Inch Silver,Apple,0,0,0,,,,,, ,,,,,,0
 Aspire 5 5M-A515-58GM,Acer,101770,94000,7770,Intel,Core i5 1335U,4,8,DDR4,512 GB SSD,15,IPS,Nvidia RTX 2050 Graphics,3-cell Li-ion,50,0
 Vector GP77 13VF,MSI,0,0,0,Intel ,Core i7-13700H,2,16,DDR5,2TB NVMe PCIe Gen4x4 SSD,17,IPS,NVIDIA GeForce RTX 4060,4 cell,65,0
 ZenBook 14 UM425UA,Asus,99990,93500,6490,AMD,Ryzen 5 5500U,2,8,LPDDR4x ,512GB PCIe NVMe 3.0 x2 M.2 SSD,14,IPS,AMD Radeon ,4-cell lithium-polymer,67,0
 Summit E16Flip A12UCT,MSI,0,0,0,Intel ,Core i7-1280P,3,32,LPDDR5,1TB NVMe PCIe Gen4x4 SSD,16,IPS,NVIDIA GeForce RTX 3050 Max-Q,4-Cell,82,0
 MacBook Pro 14,Apple,0,0,0,Apple,M1 Pro Chip,0,32,,512GB SSD,14,Liquid Retina XDR,Apple 14-core GPU,Lithium-polymer,70,0
 ProBook 455 G9,HP,95500,95500,0,AMD,Ryzen 5 5625U,,8,DDR4 ,512GB PCIe NVMe SSD,15,IPS,AMD Radeon Graphics,3 Cell,45,0
 Sword 15 A12VF,MSI,0,0,0,Intel ,Core i7-12650H,2,16,DDR5,1TB NVMe PCIe Gen4x4 SSD,15,IPS,NVIDIA GeForce RTX 4060,3-Cell,53,0
 15-eg2117TU,HP,120980,112000,8980,Intel,Core i7-1260P,4,8,DDR4 ,512 GB  PCIe NVMe M.2 SSD,15,IPS,Intel Iris Xe Graphics,3-cell Li-ion Battery,41,0
 15s-du4026TU,HP,117180,108500,8680,Intel ,Core i7-1255U,1,8,DDR4 ,256GB SSD + 1TB HDD PCIe NVMe M.2 SSD + SATA HDD,15,,Intel Iris Xe Graphics,3-cell,41,0
 A715-76G,Acer,118690,110000,8690,Intel,Core i5-12450H Processor,3,8,DDR4,512GB PCIe NVMe Gen3 SSD,15,IPS LCD,NVIDIA RTX 3050,Lithium Ion (Li-Ion),50,0
 VivoBook 15 X513EP,Asus,119350,112000,7350,Intel,Core i7-1165G7,,8,DDR4,512GB PCIe NVMe M.2 SSD,15,LED,NVIDIA GeForce MX350,3 -Cell,42,0
 Vivobook 16X OLED M1603QA,Asus,115500,108000,7500,AMD,Ryzen 5 5600H,3,8,DDR4,512GB  M.2 NVMe PCIe 3.0 SSD,16,LED,AMD Radeon Graphics,3-cell Li-ion,70,0
 VivoBook 15 S513EQ ,Asus,107630,99500,8130,Intel,Core i5-1135G7,2,8,DDR4 ,512GB M.2 NVMe PCIe 3.0 SSD,15,OLED ,NVIDIA GeForce MX350,3 -Cell,42,0
 K3504VA-L1272W,Asus,112200,105000,7200,Intel,Intel Core i5-1340P,4,8,DDR4,512GB NVMe PCIe,15,OLED,Intel Iris X Graphics,3-cell,50,0
